Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,24.520000,24.600000,21.980000,22.170000,22.170000,0
2022-04-19,22.549999,22.920000,20.360001,21.370001,21.370001,0
2022-04-20,21.129999,21.320000,19.750000,20.320000,20.320000,0
2022-04-21,20.240000,23.280001,19.809999,22.680000,22.680000,0
2022-04-22,22.709999,28.270000,22.620001,28.209999,28.209999,0
2022-04-25,30.040001,31.600000,26.799999,27.020000,27.020000,0
2022-04-26,27.379999,33.810001,27.059999,33.520000,33.520000,0
2022-04-27,31.110001,32.770000,29.820000,31.600000,31.600000,0
2022-04-28,29.910000,32.000000,28.000000,29.990000,29.990000,0
2022-04-29,28.969999,34.340000,28.540001,33.400002,33.400002,0
2022-05-02,33.349998,36.639999,31.740000,32.340000,32.340000,0
2022-05-03,31.760000,32.820000,29.059999,29.250000,29.250000,0
2022-05-04,29.120001,29.420000,24.940001,25.420000,25.420000,0
2022-05-05,25.969999,33.200001,25.780001,31.200001,31.200001,0
2022-05-06,32.230000,35.340000,29.830000,30.190001,30.190001,0
2022-05-09,31.900000,35.480000,31.900000,34.750000,34.750000,0
2022-05-10,33.660000,34.840000,32.240002,32.990002,32.990002,0
2022-05-11,32.869999,34.389999,30.690001,32.560001,32.560001,0
2022-05-12,33.740002,34.759998,31.700001,31.770000,31.770000,0
2022-05-13,31.090000,31.200001,28.780001,28.870001,28.870001,0
2022-05-16,30.010000,30.230000,27.360001,27.469999,27.469999,0
2022-05-17,27.070000,27.170000,25.510000,26.100000,26.100000,0
2022-05-18,26.740000,31.490000,26.209999,30.959999,30.959999,0
2022-05-19,31.240000,33.110001,29.059999,29.350000,29.350000,0
2022-05-20,28.780001,32.910000,28.059999,29.430000,29.430000,0
2022-05-23,28.980000,30.389999,28.290001,28.480000,28.480000,0
2022-05-24,29.430000,31.070000,29.040001,29.450001,29.450001,0
2022-05-25,29.330000,30.230000,28.160000,28.370001,28.370001,0
2022-05-26,28.420000,28.459999,27.110001,27.500000,27.500000,0
2022-05-27,27.500000,27.540001,25.570000,25.719999,25.719999,0
2022-05-31,27.469999,28.350000,25.940001,26.190001,26.190001,0
2022-06-01,26.049999,27.730000,25.379999,25.690001,25.690001,0
2022-06-02,25.730000,26.500000,24.330000,24.719999,24.719999,0
2022-06-03,24.910000,25.959999,24.760000,24.790001,24.790001,0
2022-06-06,25.370001,25.809999,24.820000,25.070000,25.070000,0
2022-06-07,25.540001,26.240000,23.879999,24.020000,24.020000,0
2022-06-08,24.370001,24.780001,23.740000,23.959999,23.959999,0
2022-06-09,24.290001,26.240000,23.820000,26.090000,26.090000,0
2022-06-10,26.260000,29.629999,26.049999,27.750000,27.750000,0
2022-06-13,31.370001,35.049999,31.290001,34.020000,34.020000,0
2022-06-14,33.009998,34.000000,32.060001,32.689999,32.689999,0
2022-06-15,32.389999,32.770000,27.760000,29.620001,29.620001,0
2022-06-16,30.350000,34.820000,30.350000,32.950001,32.950001,0
2022-06-17,32.840000,33.310001,30.469999,31.129999,31.129999,0
2022-06-21,30.629999,30.650000,29.330000,30.190001,30.190001,0
2022-06-22,31.450001,31.570000,28.780001,28.950001,28.950001,0
2022-06-23,29.290001,29.770000,28.740000,29.049999,29.049999,0
2022-06-24,29.070000,29.719999,26.830000,27.230000,27.230000,0
2022-06-27,28.299999,28.660000,26.930000,26.950001,26.950001,0
2022-06-28,26.900000,28.680000,26.469999,28.360001,28.360001,0
2022-06-29,28.799999,29.360001,27.850000,28.160000,28.160000,0
2022-06-30,29.420000,30.219999,28.280001,28.709999,28.709999,0
2022-07-01,29.530001,29.590000,26.690001,26.700001,26.700001,0
2022-07-05,27.370001,29.820000,27.299999,27.540001,27.540001,0
2022-07-06,27.840000,28.070000,26.430000,26.730000,26.730000,0
2022-07-07,26.730000,26.790001,25.660000,26.080000,26.080000,0
2022-07-08,26.410000,26.610001,24.430000,24.639999,24.639999,0
2022-07-11,26.420000,26.740000,25.790001,26.170000,26.170000,0
2022-07-12,27.139999,27.750000,25.820000,27.290001,27.290001,0
2022-07-13,27.350000,29.059999,26.230000,26.820000,26.820000,0
2022-07-14,27.469999,28.450001,26.200001,26.400000,26.400000,0
2022-07-15,26.719999,26.719999,24.129999,24.230000,24.230000,0
