,날짜,거래량,exchange
0,2020-06-01,0.38102202339986274,0.43733333333333346
1,2020-06-02,0.41009979353062714,0.4536666666666668
2,2020-06-03,0.7469889883000694,0.45983333333333354
3,2020-06-04,0.6589814177563661,0.4718333333333332
4,2020-06-05,0.46042670337233316,0.47099999999999986
5,2020-06-08,0.513764624913971,0.47816666666666685
6,2020-06-09,0.45775980729525195,0.4929999999999999
7,2020-06-10,0.3892807983482451,0.5038333333333332
8,2020-06-11,0.5965244322092228,0.5093333333333332
9,2020-06-12,0.5296799724707503,0.512
10,2020-06-15,0.5474879559532004,0.4890000000000001
11,2020-06-16,0.42945629731589874,0.4820000000000001
12,2020-06-17,0.49518238128011055,0.4890000000000001
13,2020-06-18,0.29155196145905093,0.47583333333333333
14,2020-06-19,0.3503097040605651,0.4783333333333334
15,2020-06-22,0.35985891259463204,0.48
16,2020-06-23,0.4105299380591887,0.47799999999999987
17,2020-06-24,0.41276668960770835,0.48316666666666686
18,2020-06-25,0.33800757054370306,0.49516666666666653
19,2020-06-26,0.31589814177563735,0.4913333333333333
20,2020-06-29,0.2881108052305576,0.5023333333333335
21,2020-06-30,0.3768066070199592,0.49883333333333324
22,2020-07-01,0.28200275292498306,0.5025
23,2020-07-02,0.2382140399174131,0.4973333333333335
24,2020-07-03,0.1682725395732968,0.4983333333333333
25,2020-07-06,0.37370956641431546,0.4993333333333332
26,2020-07-07,0.4702339986235378,0.5053333333333334
27,2020-07-08,0.3273399862353753,0.5118333333333331
28,2020-07-09,0.34970750172057874,0.5070000000000001
29,2020-07-10,0.2708189951823818,0.5091666666666667
30,2020-07-13,0.27176531314521685,0.4959999999999999
31,2020-07-14,0.25378527185134275,0.49950000000000006
32,2020-07-15,0.46447006194081286,0.4893333333333332
33,2020-07-16,0.32656572608396506,0.49883333333333324
34,2020-07-17,0.25215072264280847,0.49316666666666686
35,2020-07-20,0.2716792842395049,0.49049999999999994
36,2020-07-21,0.41362697866483145,0.49383333333333324
37,2020-07-22,0.3429972470750178,0.5031666666666668
38,2020-07-23,0.3774088093599456,0.5105
39,2020-07-24,0.35779421885753626,0.5025
40,2020-07-27,0.32260839642119826,0.49783333333333346
41,2020-07-28,0.5653819683413627,0.5056666666666668
42,2020-07-29,0.49845147969717907,0.5081666666666669
43,2020-07-30,0.40751892635925685,0.508
44,2020-07-31,0.44227460426703424,0.5143333333333332
45,2020-08-03,0.3935822436338615,0.5181666666666669
46,2020-08-04,0.41861665519614616,0.5105
47,2020-08-05,0.5142807983482455,0.5108333333333333
48,2020-08-06,0.5177219545767379,0.5161666666666667
49,2020-08-07,0.48253613214039986,0.5261666666666667
50,2020-08-10,0.5947178251892637,0.5234999999999999
51,2020-08-11,0.5977288368891955,0.5221666666666667
52,2020-08-12,0.5046455609084656,0.5251666666666666
53,2020-08-13,0.5911906400550585,0.5233333333333333
54,2020-08-14,0.4573296627666904,0.5273333333333334
55,2020-08-18,0.5633172746042678,0.5236666666666667
56,2020-08-19,0.4199070887818308,0.5248333333333335
57,2020-08-20,0.5766517549896768,0.5295000000000001
58,2020-08-21,0.4809015829318656,0.5228333333333335
59,2020-08-24,0.4420165175498975,0.5245000000000001
60,2020-08-25,0.3987439779766001,0.5166666666666666
61,2020-08-26,0.4306607019958715,0.5228333333333335
62,2020-08-27,0.40631452167928417,0.5216666666666667
63,2020-08-28,0.4196490020646941,0.5238333333333333
64,2020-08-31,0.6413454920853406,0.5248333333333335
65,2020-09-01,0.3941844459738479,0.5278333333333334
66,2020-09-02,0.35340674466620786,0.5256666666666668
67,2020-09-03,0.47401927047487985,0.5229999999999999
68,2020-09-04,0.4489848589125952,0.5208333333333333
69,2020-09-07,0.4071748107364082,0.5163333333333333
70,2020-09-08,0.49337577426015145,0.5213333333333332
71,2020-09-09,0.513764624913971,0.5201666666666664
72,2020-09-10,0.47849277357192016,0.5173333333333334
73,2020-09-11,0.3103922918100482,0.5245000000000001
74,2020-09-14,0.3747419132828634,0.5195000000000001
75,2020-09-15,0.3526324845147977,0.5263333333333333
76,2020-09-16,0.3249311768754308,0.5325
77,2020-09-17,0.4554370268410194,0.5370000000000001
78,2020-09-18,0.34807295251204445,0.5409999999999999
79,2020-09-21,0.37964556090846524,0.5606666666666669
80,2020-09-22,0.41362697866483145,0.5656666666666668
81,2020-09-23,0.39633516861665563,0.5601666666666665
82,2020-09-24,0.373193392980042,0.5593333333333332
83,2020-09-25,0.2332243633860984,0.5495000000000001
84,2020-09-28,0.1639710942876813,0.5491666666666667
85,2020-09-29,0.27331383344803917,0.5441666666666667
86,2020-10-05,0.3706985547143846,0.5508333333333333
87,2020-10-06,0.28062629043358644,0.5609999999999998
88,2020-10-07,0.21403991741225062,0.5666666666666667
89,2020-10-08,0.4115622849277366,0.5625
90,2020-10-12,0.3024776324845155,0.573
91,2020-10-13,0.3366311080523055,0.5861666666666667
92,2020-10-14,0.34394356503785284,0.5841666666666667
93,2020-10-15,0.30135925671025465,0.5904999999999999
94,2020-10-16,0.27021679284239547,0.5923333333333335
95,2020-10-19,0.27210942876806643,0.5906666666666669
96,2020-10-20,0.39642119752236754,0.5963333333333333
97,2020-10-21,0.27503441156228536,0.6004999999999999
98,2020-10-22,0.2779593943565043,0.6104999999999999
99,2020-10-23,0.25189263592567174,0.6098333333333334
100,2020-10-26,0.39487267721954616,0.6090000000000002
101,2020-10-27,0.43134893324156975,0.6181666666666668
102,2020-10-28,0.2623881624225747,0.6206666666666668
103,2020-10-29,0.3767205781142463,0.6178333333333335
