날짜,거래회전율,환율
2021-01-08,0.916121817,0.687166667
2021-01-11,1.0,0.676
2021-01-12,0.768926359,0.670333333
2021-01-13,0.679886442,0.666833333
2021-01-14,0.624827942,0.675
2021-01-15,0.602890571,0.666166667
2021-01-18,0.636355816,0.670166667
2021-01-19,0.653647626,0.659333333
2021-01-20,0.667068135,0.663166667
2021-01-21,0.711545079,0.666666667
2021-01-22,0.608224363,0.668
2021-01-25,0.526066758,0.662833333
2021-01-26,0.582157605,0.661333333
2021-01-27,0.555230557,0.661666667
2021-01-28,0.587749484,0.66
2021-01-29,0.677907777,0.642333333
2021-02-01,0.573726772,0.638
2021-02-02,0.517635926,0.636666667
2021-02-03,0.624139711,0.639
2021-02-04,0.552563661,0.643333333
2021-02-05,0.491311081,0.638833333
2021-02-08,0.543788713,0.626666667
2021-02-09,0.543960771,0.634833333
2021-02-10,0.461028906,0.64
2021-02-15,0.463437715,0.649833333
2021-02-16,0.39151755,0.6615
2021-02-17,0.388764625,0.667166667
2021-02-18,0.398916036,0.653833333
2021-02-19,0.466018582,0.657166667
2021-02-22,0.462319339,0.654833333
2021-02-23,0.434704061,0.655833333
2021-02-24,0.529507915,0.648666667
2021-02-25,0.528217481,0.649666667
2021-02-26,0.664229181,0.652666667
2021-03-02,0.546799725,0.630333333
2021-03-03,0.34987956,0.631166667
2021-03-04,0.438317275,0.6285
2021-03-05,0.454232622,0.623
2021-03-08,0.400206469,0.617666667
2021-03-09,0.531658637,0.6145
2021-03-10,0.398055747,0.598166667
2021-03-11,0.464900206,0.598833333
2021-03-12,0.277959394,0.6045
2021-03-15,0.273399862,0.6155
2021-03-16,0.234686855,0.606833333
2021-03-17,0.221868548,0.6125
2021-03-18,0.373107364,0.613666667
2021-03-19,0.335598761,0.627166667
2021-03-22,0.231847901,0.613666667
2021-03-23,0.319597385,0.6145
2021-03-24,0.274088094,0.62
2021-03-25,0.269012388,0.610833333
2021-03-26,0.324070888,0.609666667
2021-03-29,0.284239504,0.613666667
2021-03-30,0.304456297,0.613833333
2021-03-31,0.329232622,0.610833333
2021-04-01,0.36476256,0.612333333
2021-04-02,0.384807295,0.617833333
2021-04-05,0.334050241,0.620833333
2021-04-06,0.438919477,0.620333333
2021-04-07,0.373193393,0.6285
2021-04-08,0.392549897,0.639333333
2021-04-09,0.361407433,0.635833333
2021-04-12,0.277013076,0.638
2021-04-13,0.332329663,0.626166667
2021-04-14,0.283551273,0.623166667
2021-04-15,0.452167928,0.6335
2021-04-16,0.42136958,0.637333333
2021-04-19,0.30264969,0.636833333
2021-04-20,0.274690296,0.636333333
2021-04-21,0.406400551,0.644333333
2021-04-22,0.344459738,0.637666667
2021-04-23,0.401238816,0.6395
2021-04-26,0.347900895,0.635166667
2021-04-27,0.325619408,0.643333333
2021-04-28,0.350739849,0.648666667
2021-04-29,0.414745354,0.645833333
2021-04-30,0.423520303,0.654333333
2021-05-03,0.38678596,0.650666667
2021-05-04,0.288626979,0.6345
2021-05-06,0.382398486,0.6315
2021-05-07,0.287680661,0.624166667
2021-05-10,0.400722643,0.631
2021-05-11,0.507742602,0.642333333
2021-05-12,0.562801101,0.634833333
2021-05-13,0.538282863,0.6275
2021-05-14,0.293530626,0.615666667
2021-05-17,0.277615279,0.6175
2021-05-18,0.271163111,0.611666667
2021-05-20,0.313747419,0.6115
2021-05-21,0.389710943,0.613
2021-05-24,0.190209911,0.621833333
2021-05-25,0.209222299,0.620666667
2021-05-26,0.191930489,0.628666667
2021-05-27,0.493547832,0.635666667
2021-05-28,0.296885754,0.636666667
2021-05-31,0.251892636,0.64
2021-06-01,0.287164487,0.644166667
2021-06-02,0.291810048,0.655
2021-06-03,0.396593255,0.6495
2021-06-04,0.315984171,0.647
2021-06-07,0.265915348,0.6375
2021-06-08,0.250946318,0.648
2021-06-09,0.289401239,0.643833333
2021-06-10,0.400206469,0.640333333
2021-06-11,0.293358568,0.641666667
2021-06-14,0.228836889,0.648
2021-06-15,0.213093599,0.639333333
2021-06-16,0.250516173,0.637
2021-06-17,0.32544735,0.637166667
2021-06-18,0.389280798,0.6175
2021-06-21,0.419218858,0.613
2021-06-22,0.226342051,0.607666667
2021-06-23,0.337319339,0.612666667
2021-06-24,0.472728837,0.607333333
2021-06-25,0.349449415,0.607
2021-06-28,0.210168617,0.618666667
2021-06-29,0.223158981,0.616833333
2021-06-30,0.295853407,0.616666667
2021-07-01,0.313833448,0.6175
2021-07-02,0.242343427,0.613
2021-07-05,0.147281487,0.609166667
2021-07-06,0.184962147,0.616166667
2021-07-07,0.31056435,0.613666667
2021-07-08,0.341276669,0.604
2021-07-09,0.434876118,0.594333333
2021-07-12,0.128097041,0.586166667
2021-07-13,0.165347557,0.589333333
2021-07-14,0.163024776,0.5915
2021-07-15,0.187543014,0.582833333
2021-07-16,0.148485891,0.593833333
2021-07-19,0.171885754,0.598166667
2021-07-20,0.25395733,0.5905
2021-07-21,0.288024776,0.581666667
2021-07-22,0.248795595,0.582333333
2021-07-23,0.204920853,0.581666667
2021-07-26,0.151324845,0.584166667
2021-07-27,0.170509291,0.578
2021-07-28,0.267033723,0.583
2021-07-29,0.21541638,0.575333333
