,날짜,거래량,exchange
0,2020-06-01,0.1818285194450758,0.43733333333333346
1,2020-06-02,0.22026381623834454,0.4536666666666668
2,2020-06-03,0.6655674323402323,0.45983333333333354
3,2020-06-04,0.5492381168978844,0.4718333333333332
4,2020-06-05,0.28678644530361536,0.47099999999999986
5,2020-06-08,0.35728906072321953,0.47816666666666685
6,2020-06-09,0.28326131453263603,0.4929999999999999
7,2020-06-10,0.19274505344553022,0.5038333333333332
8,2020-06-11,0.4666818285194452,0.5093333333333332
9,2020-06-12,0.378326131453263,0.512
10,2020-06-15,0.40186490789174395,0.4890000000000001
11,2020-06-16,0.24584944280191035,0.4820000000000001
12,2020-06-17,0.33272685922219675,0.4890000000000001
13,2020-06-18,0.0635660677734818,0.47583333333333333
14,2020-06-19,0.1412326586308847,0.4783333333333334
15,2020-06-22,0.15385490106891,0.48
16,2020-06-23,0.22083238571753483,0.47799999999999987
17,2020-06-24,0.22378894700932386,0.48316666666666686
18,2020-06-25,0.12497157152603998,0.49516666666666653
19,2020-06-26,0.09574710029565604,0.4913333333333333
20,2020-06-29,0.05901751193995818,0.5023333333333335
21,2020-06-30,0.1762565385490104,0.49883333333333324
22,2020-07-01,0.05094382533545523,0.5025
23,2020-07-02,-0.006936547646122357,0.4973333333333335
24,2020-07-03,-0.09938594496247544,0.4983333333333333
25,2020-07-06,0.17216283829883952,0.4993333333333332
26,2020-07-07,0.29974982942915585,0.5053333333333334
27,2020-07-08,0.1108710484421189,0.5118333333333331
28,2020-07-09,0.14043666136001803,0.5070000000000001
29,2020-07-10,0.0361610188765063,0.5091666666666667
30,2020-07-13,0.037411871730724446,0.4959999999999999
31,2020-07-14,0.013645667500568344,0.49950000000000006
32,2020-07-15,0.29213099840800566,0.4893333333333332
33,2020-07-16,0.10984762337957713,0.49883333333333324
34,2020-07-17,0.011485103479644718,0.49316666666666686
35,2020-07-20,0.03729815783488689,0.49049999999999994
36,2020-07-21,0.22492608596770444,0.49383333333333324
37,2020-07-22,0.1315669774846484,0.5031666666666668
38,2020-07-23,0.17705253581987707,0.5105
39,2020-07-24,0.1511257675687961,0.5025
40,2020-07-27,0.10461678417102566,0.49783333333333346
41,2020-07-28,0.4255173982260625,0.5056666666666668
42,2020-07-29,0.337047987264044,0.5081666666666669
43,2020-07-30,0.2168523993632015,0.508
44,2020-07-31,0.2627928132817829,0.5143333333333332
45,2020-08-03,0.19843074823743442,0.5181666666666669
46,2020-08-04,0.23152149192631288,0.5105
47,2020-08-05,0.35797134409824866,0.5108333333333333
48,2020-08-06,0.36251989993177103,0.5161666666666667
49,2020-08-07,0.3160109165340006,0.5261666666666667
50,2020-08-10,0.46429383670684515,0.5234999999999999
51,2020-08-11,0.4682738230611785,0.5221666666666667
52,2020-08-12,0.3452353877643845,0.5251666666666666
53,2020-08-13,0.45963156697748403,0.5233333333333333
54,2020-08-14,0.28269274505344577,0.5273333333333334
55,2020-08-18,0.4227882647259499,0.5236666666666667
56,2020-08-19,0.23322720036388378,0.5248333333333335
57,2020-08-20,0.44041391858085027,0.5295000000000001
58,2020-08-21,0.31385035251307697,0.5228333333333335
59,2020-08-24,0.26245167159426896,0.5245000000000001
60,2020-08-25,0.20525358198771798,0.5166666666666666
61,2020-08-26,0.24744143734364368,0.5228333333333335
62,2020-08-27,0.2152604048214682,0.5216666666666667
63,2020-08-28,0.23288605867636986,0.5238333333333333
64,2020-08-31,0.5259267682510798,0.5248333333333335
65,2020-09-01,0.1992267455083011,0.5278333333333334
66,2020-09-02,0.1453263588810543,0.5256666666666668
67,2020-09-03,0.30475324084603095,0.5229999999999999
68,2020-09-04,0.2716624971571525,0.5208333333333333
69,2020-09-07,0.21639754377985002,0.5163333333333333
70,2020-09-08,0.3303388674095968,0.5213333333333332
71,2020-09-09,0.35728906072321953,0.5201666666666664
72,2020-09-10,0.3106663634296103,0.5173333333333334
73,2020-09-11,0.08846941096201849,0.5245000000000001
74,2020-09-14,0.17352740504889647,0.5195000000000001
75,2020-09-15,0.14430293381851253,0.5263333333333333
76,2020-09-16,0.1076870593586535,0.5325
77,2020-09-17,0.2801910393450082,0.5370000000000001
78,2020-09-18,0.1382760973390944,0.5409999999999999
79,2020-09-21,0.1800090971116661,0.5606666666666669
80,2020-09-22,0.22492608596770444,0.5656666666666668
81,2020-09-23,0.20206959290425258,0.5601666666666665
82,2020-09-24,0.17148055492381167,0.5593333333333332
83,2020-09-25,-0.013531953604730789,0.5495000000000001
84,2020-09-28,-0.10507163975437839,0.5491666666666667
85,2020-09-29,0.039458721855810515,0.5441666666666667
86,2020-10-05,0.16818285194450747,0.5508333333333333
87,2020-10-06,0.0491244030020468,0.5609999999999998
88,2020-10-07,-0.03889015237662148,0.5666666666666667
89,2020-10-08,0.2221969524675918,0.5625
90,2020-10-12,0.07800773254491682,0.573
91,2020-10-13,0.12315214919263028,0.5861666666666667
92,2020-10-14,0.13281783033886654,0.5841666666666667
93,2020-10-15,0.07652945189902104,0.5904999999999999
94,2020-10-16,0.03536502160563963,0.5923333333333335
95,2020-10-19,0.037866727314077184,0.5906666666666669
96,2020-10-20,0.20218330680009014,0.5963333333333333
97,2020-10-21,0.041732999772571694,0.6004999999999999
98,2020-10-22,0.045599272231066204,0.6104999999999999
99,2020-10-23,0.011143961792130792,0.6098333333333334
100,2020-10-26,0.20013645667500532,0.6090000000000002
101,2020-10-27,0.2483511485103479,0.6181666666666668
102,2020-10-28,0.025017057084375505,0.6206666666666668
103,2020-10-29,0.17614282465317158,0.6178333333333335
